model_version,model_id,entity_id,target_id,period_type,target_year,period_label,target_period_start,target_period_end,forecast_origin,information_cutoff,target_volume_mn,anchor_year,anchor_period_type,anchor_release_date,anchor_actual_status,anchor_volume_mn,anchor_actual_value_hkdm,anchor_yield_hkd_per_passenger,fam_factor,predicted_value_hkdm,actual_value_hkdm,error_hkdm,error_pct,absolute_error_pct,actual_status,actual_available_at,actual_source_url,actual_definition,evaluation_status,pit_grade,model_applied,has_prediction,has_actual,chronological_training_periods,input_bundle_id,source_snapshot,source_snapshot_sha256,source_caveat
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2015,2015 H1,2015-01-01,2015-06-30,2015-06-30,2015-06-30,949.44,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2015,2015 H2,2015-07-01,2015-12-31,2015-12-31,2015-12-31,988.9520000000001,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2016,2016 H1,2016-01-01,2016-06-30,2016-06-30,2016-06-30,952.071,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2016,2016 H2,2016-07-01,2016-12-31,2016-12-31,2016-12-31,996.722,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2017,2017 H1,2017-01-01,2017-06-30,2017-06-30,2017-06-30,975.4100000000001,,H1,,,,,,,,8957.0,,,,official_h1,2017-08-10,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-17-067-E.pdf,Official Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,True,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2017,2017 H2,2017-07-01,2017-12-31,2017-12-31,2017-12-31,1024.603,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2018,2018 H1,2018-01-01,2018-06-30,2018-06-30,2018-06-30,997.8439999999999,2017.0,H1,2017-08-10,official_h1,975.4100000000001,8957.0,9.182805179360473,1.0314,9450.725472807537,9328.0,122.72547280753679,1.3156675901322554,1.3156675901322554,official_h1,2018-08-09,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-18-070-E.pdf,Official Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m,valid_practical_oos,B_practical_pit,True,True,True,1,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,chronological_training_no_future_financial_actual; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2018,2018 H2,2018-07-01,2018-12-31,2018-12-31,2018-12-31,1046.652,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2019,2019 H1,2019-01-01,2019-06-30,2019-06-30,2019-06-30,1022.4229999999999,2018.0,H1,2018-08-09,official_h1,997.8439999999999,9328.0,9.34815462136366,1.033,9873.174646088966,10690.0,-816.8253539110337,-7.641022955201439,7.641022955201439,official_h1,2019-08-08,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-19-047-E.pdf,Official Hong Kong Transport Operations / Total Revenue; six months ended 30 June; HK$m,valid_practical_oos,B_practical_pit,True,True,True,2,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,chronological_training_no_future_financial_actual; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2019,2019 H2,2019-07-01,2019-12-31,2019-12-31,2019-12-31,891.889,,H2,,,,,,,,9248.0,,,,derived_fy_minus_h1,2020-03-05,https://www.mtr.com.hk/archive/corporate/en/press_release/PR-20-019-E.pdf,Derived H2 Hong Kong Transport Operations / Total Revenue = official FY actual minus official H1 actual; HK$m,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,True,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
