dataset_id,source_url,source_run_id,scraped_at,snapshot_ts,model_id,model_name,created_at,context_length,architecture,pricing_prompt,pricing_completion,top_provider_id,instance_type_name,gpu_type,gpu_count,region,availability_zone,instance_type,product_description,spot_price,price_timestamp
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1d,p6-b200.48xlarge,Linux/UNIX,31.6769,2026-04-15T02:20:35+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p6-b200.48xlarge,Linux/UNIX,26.9432,2026-04-15T02:33:29+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1f,p5.48xlarge,Linux/UNIX,17.8705,2026-04-15T02:51:14+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2c,p5.48xlarge,Linux/UNIX,18.2084,2026-04-15T03:02:49+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p6-b200.48xlarge,Linux/UNIX,29.7658,2026-04-15T03:17:02+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1e,p5.48xlarge,Linux/UNIX,15.8134,2026-04-15T03:35:58+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p5.48xlarge,Linux/UNIX,12.0881,2026-04-15T03:46:29+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p5en.48xlarge,Linux/UNIX,10.6734,2026-04-15T04:02:22+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2c,p5e.48xlarge,Linux/UNIX,17.1698,2026-04-15T04:03:08+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2d,p5en.48xlarge,Linux/UNIX,18.0684,2026-04-15T04:17:39+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5e.48xlarge,Linux/UNIX,12.9913,2026-04-15T04:31:40+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5en.48xlarge,Linux/UNIX,10.3307,2026-04-15T05:01:53+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p5.48xlarge,Linux/UNIX,19.1894,2026-04-15T05:17:55+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2b,p5.48xlarge,Linux/UNIX,18.8344,2026-04-15T05:17:55+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p5en.48xlarge,Linux/UNIX,10.3261,2026-04-15T05:47:26+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1b,p5en.48xlarge,Linux/UNIX,21.1626,2026-04-15T05:48:33+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p5e.48xlarge,Linux/UNIX,23.663,2026-04-15T06:01:41+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1d,p5.48xlarge,Linux/UNIX,17.4056,2026-04-15T06:33:20+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2c,p5.48xlarge,Linux/UNIX,17.9802,2026-04-15T06:47:49+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p6-b200.48xlarge,Linux/UNIX,26.9427,2026-04-15T06:48:31+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1d,p5en.48xlarge,Linux/UNIX,15.7666,2026-04-15T07:18:59+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2d,p6-b200.48xlarge,Linux/UNIX,22.0048,2026-04-15T07:32:13+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5.48xlarge,Linux/UNIX,12.7754,2026-04-15T07:46:42+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5e.48xlarge,Linux/UNIX,12.8576,2026-04-15T07:47:26+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2b,p6-b200.48xlarge,Linux/UNIX,58.478,2026-04-15T07:48:13+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2c,p5en.48xlarge,Linux/UNIX,19.0433,2026-04-15T08:33:25+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2d,p5.48xlarge,Linux/UNIX,6.54,2026-04-15T08:49:10+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1a,p5.48xlarge,Linux/UNIX,55.04,2026-04-15T09:00:30+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1c,p5.48xlarge,Linux/UNIX,55.04,2026-04-15T09:00:30+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1f,p5.48xlarge,Linux/UNIX,17.6771,2026-04-15T09:18:28+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2b,p5.48xlarge,Linux/UNIX,18.8334,2026-04-15T09:33:26+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p5.48xlarge,Linux/UNIX,11.9563,2026-04-15T09:47:08+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p6-b200.48xlarge,Linux/UNIX,29.8104,2026-04-15T09:47:25+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p5en.48xlarge,Linux/UNIX,18.1062,2026-04-15T10:02:35+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p6-b200.48xlarge,Linux/UNIX,26.8631,2026-04-15T10:03:14+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1e,p5.48xlarge,Linux/UNIX,15.7603,2026-04-15T10:03:36+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p5e.48xlarge,Linux/UNIX,15.1065,2026-04-15T10:31:59+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p5.48xlarge,Linux/UNIX,19.2001,2026-04-15T10:32:34+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p5.48xlarge,Linux/UNIX,11.8665,2026-04-15T11:01:27+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1b,p5en.48xlarge,Linux/UNIX,21.1789,2026-04-15T11:03:16+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1b,p5.48xlarge,Linux/UNIX,18.495,2026-04-15T11:19:04+00:00
