registry_version,doc_id,path,topic_key,classification,canonical_path,reason
asia_backtest_registry_v2,hk-airlines-sector-map 4,docs/asia-markets/hk-airlines-sector-map 4.md,hk-airlines-sector-map,numbered_copy,docs/asia-markets/hk-airlines-sector-map.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-sector-map,docs/asia-markets/hk-airlines-sector-map.md,hk-airlines-sector-map,unclassified,docs/asia-markets/hk-airlines-sector-map.md,Requires later topic-level review.
asia_backtest_registry_v2,HKEX_EVENT_HISTORY_AUDIT 2,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT 2.md,hkex_event_history_audit,numbered_copy,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HKEX_EVENT_HISTORY_AUDIT 3,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT 3.md,hkex_event_history_audit,numbered_copy,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HKEX_EVENT_HISTORY_AUDIT 4,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT 4.md,hkex_event_history_audit,numbered_copy,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HKEX_EVENT_HISTORY_AUDIT,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT.md,hkex_event_history_audit,unclassified,docs/asia-markets/HKEX_EVENT_HISTORY_AUDIT.md,Requires later topic-level review.
asia_backtest_registry_v2,HSCI_PIT_RECONCILIATION_AUDIT 2,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT 2.md,hsci_pit_reconciliation_audit,numbered_copy,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HSCI_PIT_RECONCILIATION_AUDIT 3,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT 3.md,hsci_pit_reconciliation_audit,numbered_copy,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HSCI_PIT_RECONCILIATION_AUDIT 4,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT 4.md,hsci_pit_reconciliation_audit,numbered_copy,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HSCI_PIT_RECONCILIATION_AUDIT 5,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT 5.md,hsci_pit_reconciliation_audit,numbered_copy,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,HSCI_PIT_RECONCILIATION_AUDIT,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT.md,hsci_pit_reconciliation_audit,unclassified,docs/asia-markets/HSCI_PIT_RECONCILIATION_AUDIT.md,Requires later topic-level review.
asia_backtest_registry_v2,MTR_EARNINGS_ENGINE_SPEC,docs/asia-markets/MTR_EARNINGS_ENGINE_SPEC.md,mtr_earnings_engine_spec,canonical,docs/asia-markets/MTR_EARNINGS_ENGINE_SPEC.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,MTR_LONG_SHORT_THESIS,docs/asia-markets/MTR_LONG_SHORT_THESIS.md,mtr_long_short_thesis,unclassified,docs/asia-markets/MTR_LONG_SHORT_THESIS.md,Requires later topic-level review.
asia_backtest_registry_v2,MTR_MODELLING_REPORT,docs/asia-markets/MTR_MODELLING_REPORT.md,mtr_modelling_report,unclassified,docs/asia-markets/MTR_MODELLING_REPORT.md,Requires later topic-level review.
asia_backtest_registry_v2,MTR_PROPERTY_ENGINE_TODO,docs/asia-markets/MTR_PROPERTY_ENGINE_TODO.md,mtr_property_engine_todo,unclassified,docs/asia-markets/MTR_PROPERTY_ENGINE_TODO.md,Requires later topic-level review.
asia_backtest_registry_v2,MTR_RESEARCH_STACK,docs/asia-markets/MTR_RESEARCH_STACK.md,mtr_research_stack,canonical,docs/asia-markets/MTR_RESEARCH_STACK.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,MTR_THEISIS_A_CROSS_BOUNDARY,docs/asia-markets/MTR_THEISIS_A_CROSS_BOUNDARY.md,mtr_theisis_a_cross_boundary,unclassified,docs/asia-markets/MTR_THEISIS_A_CROSS_BOUNDARY.md,Requires later topic-level review.
asia_backtest_registry_v2,MTR_THEISIS_B_COMMERCIAL_MIX,docs/asia-markets/MTR_THEISIS_B_COMMERCIAL_MIX.md,mtr_theisis_b_commercial_mix,unclassified,docs/asia-markets/MTR_THEISIS_B_COMMERCIAL_MIX.md,Requires later topic-level review.
asia_backtest_registry_v2,NEWS_SOURCES_AND_NEWS_BACKTESTING 2,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING 2.md,news_sources_and_news_backtesting,numbered_copy,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,NEWS_SOURCES_AND_NEWS_BACKTESTING 3,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING 3.md,news_sources_and_news_backtesting,numbered_copy,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,NEWS_SOURCES_AND_NEWS_BACKTESTING 4,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING 4.md,news_sources_and_news_backtesting,numbered_copy,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,NEWS_SOURCES_AND_NEWS_BACKTESTING,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING.md,news_sources_and_news_backtesting,unclassified,docs/asia-markets/NEWS_SOURCES_AND_NEWS_BACKTESTING.md,Requires later topic-level review.
asia_backtest_registry_v2,OPERATING_MANUAL,docs/asia-markets/OPERATING_MANUAL.md,operating_manual,canonical,docs/asia-markets/OPERATING_MANUAL.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,PROJECT_STATUS,docs/asia-markets/PROJECT_STATUS.md,project_status,unclassified,docs/asia-markets/PROJECT_STATUS.md,Requires later topic-level review.
asia_backtest_registry_v2,README,docs/asia-markets/README.md,readme,unclassified,docs/asia-markets/README.md,Requires later topic-level review.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FINANCIAL_MODEL,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL.md,real_estate_shkp_financial_model,canonical,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FINANCIAL_MODEL 2,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL 2.md,real_estate_shkp_financial_model,numbered_copy,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FINANCIAL_MODEL 3,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL 3.md,real_estate_shkp_financial_model,numbered_copy,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FINANCIAL_MODEL 4,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL 4.md,real_estate_shkp_financial_model,numbered_copy,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FINANCIAL_MODEL 5,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL 5.md,real_estate_shkp_financial_model,numbered_copy,docs/asia-markets/REAL_ESTATE_SHKP_FINANCIAL_MODEL.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FORECAST_BACKTEST,docs/asia-markets/REAL_ESTATE_SHKP_FORECAST_BACKTEST.md,real_estate_shkp_forecast_backtest,canonical,docs/asia-markets/REAL_ESTATE_SHKP_FORECAST_BACKTEST.md,Explicitly selected canonical backtest/reference document.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FORECAST_BACKTEST 2,docs/asia-markets/REAL_ESTATE_SHKP_FORECAST_BACKTEST 2.md,real_estate_shkp_forecast_backtest,numbered_copy,docs/asia-markets/REAL_ESTATE_SHKP_FORECAST_BACKTEST.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,REAL_ESTATE_SHKP_FORECAST_BACKTEST 3,docs/asia-markets/REAL_ESTATE_SHKP_FORECAST_BACKTEST 3.md,real_estate_shkp_forecast_backtest,numbered_copy,docs/asia-markets/REAL_ESTATE_SHKP_FORECAST_BACKTEST.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
