month,airline_code,airline_name,announcement_date,announcement_time,announcement_id,announcement_title,source_pdf_url,source_quality,retrieved_at
2022-06,600115,China Eastern,2022-07-16,2022-07-16T00:00:00+08:00,1214056848,中国东方航空股份有限公司2022年6月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-07-16/1214056848.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-06,600221,Hainan Airlines Holdings,2022-07-19,2022-07-19T00:00:00+08:00,1214066664,ST海航：2022年6月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-07-19/1214066664.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-06,601021,Spring Airlines,2022-07-16,2022-07-16T00:00:00+08:00,1214054934,春秋航空2022年6月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-07-16/1214054934.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-06,601111,Air China,2022-07-16,2022-07-16T00:00:00+08:00,1214056908,中国国际航空股份有限公司2022年6月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-07-16/1214056908.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-06,603885,Juneyao Airlines,2022-07-16,2022-07-16T00:00:00+08:00,1214056164,上海吉祥航空股份有限公司2022年6月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-07-16/1214056164.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-07,600029,China Southern,2022-08-16,2022-08-16T00:00:00+08:00,1214297457,南方航空2022年7月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-08-16/1214297457.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-07,600115,China Eastern,2022-08-16,2022-08-16T00:00:00+08:00,1214296763,中国东方航空股份有限公司2022年7月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-08-16/1214296763.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-07,600221,Hainan Airlines Holdings,2022-08-16,2022-08-16T00:00:00+08:00,1214300158,ST海航：2022年7月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-08-16/1214300158.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-07,601021,Spring Airlines,2022-08-16,2022-08-16T00:00:00+08:00,1214295095,春秋航空2022年7月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-08-16/1214295095.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-07,601111,Air China,2022-08-16,2022-08-16T00:00:00+08:00,1214298133,中国国际航空股份有限公司2022年7月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-08-16/1214298133.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-07,603885,Juneyao Airlines,2022-08-16,2022-08-16T00:00:00+08:00,1214298771,上海吉祥航空股份有限公司2022年7月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-08-16/1214298771.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
