dataset_id,company,ticker,period,target_year,row_status,ask_native_mn,target_revenue_native_mn,lf_prior,lf_normal,lf_shrink_lambda,yield_prior,yield_normal,yield_pressure_score,yield_modifier_delta_pct,recovery_overlay_active,revenue_base_decomposition_native_mn,revenue_dynamic_shrinkage_native_mn,revenue_residual_yield_native_mn,revenue_recovery_overlay_native_mn,error_base_decomposition_pct,error_dynamic_shrinkage_pct,error_residual_yield_pct,error_recovery_overlay_pct,retrieved_at
airline_earnings_model_v4,China Eastern Airlines,600115.SH,FY,2024,historical_evaluated,296909.20000000007,132120.0,0.7441368036557564,0.7441368036557564,0.9,0.6241980020046659,0.5719907577680605,0.6384173628607837,0.9576260442911754,False,137910.97012532805,136757.49772120037,138067.1231368995,138067.1231368995,4.383113930766003,3.510064881320285,4.5013042210864995,4.5013042210864995,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,FY,2025,historical_evaluated,316928.36000000004,139941.0,0.8281807030566918,0.7772434523502049,0.7555195748665708,0.5373036652674622,0.5638089193260685,0.0609572424253531,0.09143586363802965,False,141028.2164486651,140582.8682273901,140711.41138708094,140711.41138708094,0.7769105899379847,0.45867060217528177,0.5505258552396697,0.5505258552396697,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H1,2020,historical_evaluated,61719.22,25129.0,0.8266244902985302,0.8243435556347345,0.8225979737645396,0.5408823769454407,0.5447690823465775,-1.9215193364202057,-2.882279004630308,False,27595.07179102086,27616.724276082095,26820.733230505943,26820.733230505943,9.813648736602577,9.899814063759393,6.732194796871904,6.732194796871904,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H1,2021,historical_evaluated,85927.79000000001,34710.0,0.667635300640546,0.8187410581277913,0.5,0.6098394090365149,0.5501687559941705,0.4505029173604198,0.6757543760406296,False,34985.526954326386,37039.36104053475,37289.65614362365,37289.65614362365,0.7937970450198284,6.710922041298617,7.4320257667060075,7.4320257667060075,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H1,2022,historical_evaluated,44535.600000000006,19354.0,0.7079967959143367,0.8131385606208481,0.5852830012684377,0.5705447049966633,0.5555684296417635,0.1143007870456145,0.17145118056842173,False,17989.880526428064,18889.942572682554,18922.329602232116,18922.329602232116,-7.048256037883316,-2.3977339429443356,-2.2303937055279777,-2.2303937055279777,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H1,2023,historical_evaluated,108605.29,49511.0,0.6063901687638653,0.7605676782675924,0.5402175250173369,0.716656884871667,0.5630565673192134,1.5603988124617425,2.3405982186926138,False,47197.001559651144,47519.690978067214,48631.93601862809,48631.93601862809,-4.673705722665378,-4.021952741679192,-1.775492277214985,-1.775492277214985,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H1,2024,historical_evaluated,144251.52000000002,64199.0,0.7175947875098901,0.7175947875098901,0.9,0.6352891572278754,0.5705447049966633,0.6384173628607837,0.9576260442911754,False,65761.41002634403,65091.21340459049,65714.54381669799,65714.54381669799,2.4336983852459193,1.3897621529782134,2.360696921600014,2.360696921600014,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H1,2025,historical_evaluated,155022.3,66822.0,0.8120722055476433,0.7648334965287666,0.7797545799236774,0.548041212999706,0.5630565673192134,0.0609572424253531,0.09143586363802965,False,68992.52526212548,68519.59659650979,68582.2480814191,68582.2480814191,3.24821954165615,2.5404755866477835,2.6342343560789683,2.6342343560789683,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H2,2020,historical_evaluated,90351.71,33510.0,0.8139017179468857,0.8139017179468857,0.9,0.5499498829420741,0.565709637922024,-1.9215193364202057,-2.882279004630308,False,40441.89111490501,40557.78427438475,39388.795773500904,39388.795773500904,20.68603734677712,21.03188383880856,17.543407262014043,17.543407262014043,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H2,2021,historical_evaluated,74764.02,32417.0,0.7315370124151496,0.8108397860604529,0.5,0.5069927477796562,0.557829760432049,0.4505029173604198,0.6757543760406296,False,27728.775805128644,30697.312826705398,30904.751261458747,30904.751261458747,-14.46223954983915,-5.304893029258107,-4.664986700006946,-4.664986700006946,2026-08-10T21:05:59.950266+00:00
