date,series_id,metric,index_value,source_agency,yield_pct,yield_bp,delta_bp_1m,delta_bp_12m,ip_reval_pre_tax_hkdm,ip_reval_calibrated_hkdm,eps_impact_hkd
2008-08-01,overall,rental_yield,4.496406,Centaline Property Agency,4.496406,449.64060000000006,10.693200000000047,-11.914929999999913,-2622.3103200000114,-1101.3703344000048,-0.14533271875098627
2008-09-01,overall,rental_yield,4.5250726,Centaline Property Agency,4.5250726,452.50726,2.8666599999999107,-8.920639999999992,-702.9955581052413,-295.25813440420137,-0.03896116144228926
2008-10-01,overall,rental_yield,4.7603407,Centaline Property Agency,4.7603407,476.03407000000004,23.52681000000007,15.981970000000103,-5769.516763894754,-2423.1970408357965,-0.31975603756012105
2008-11-01,overall,rental_yield,4.8709407,Centaline Property Agency,4.8709407,487.09407000000004,11.060000000000002,37.23907000000008,-2712.261263157895,-1139.1497305263158,-0.15031794686210875
2008-12-01,overall,rental_yield,4.438323,Centaline Property Agency,4.438323,443.8323,-43.26177000000007,9.034299999999973,10609.152165157911,4455.843909366323,0.5879765320091122
2009-01-01,overall,rental_yield,4.1285787,Centaline Property Agency,4.1285787,412.85787000000005,-30.974429999999927,-11.120889999999918,7595.908375894719,3190.281517875782,0.42097764220832695
2009-02-01,overall,rental_yield,4.0533466,Centaline Property Agency,4.0533466,405.33466000000004,-7.523210000000006,-10.342319999999972,1844.928667052633,774.8700401621059,0.10224895850022477
2009-03-01,overall,rental_yield,3.9754086,Centaline Property Agency,3.9754086,397.54086,-7.793800000000033,-21.57578000000001,1911.2858800000083,802.7400696000035,0.10592658356726115
2009-04-01,overall,rental_yield,3.809623,Centaline Property Agency,3.809623,380.9623,-16.57855999999998,-58.84382999999997,4065.5864454736798,1707.5463070989454,0.22532143771521504
2009-05-01,overall,rental_yield,3.7739053,Centaline Property Agency,3.7739053,377.39053,-3.571770000000015,-54.65856999999994,875.9107967368458,367.88253462947523,0.048544406244455364
2009-06-01,overall,rental_yield,3.7356746,Centaline Property Agency,3.7356746,373.56746,-3.8230700000000297,-62.14434,937.537492526323,393.7657468610557,0.0519598583282212
